sewer_identifier;position;code;characterization;quantifier;length
91192000;61.4;BCA;B;null;null
91192000;61.4;BAF;A;null;null
91192000;60.2;BAJ;B;null;null
91192000;60.2;BAF;B;null;null
91192000;58.5;BAF;C;null;null
91192000;52.1;BAB;B;null;13500
91192000;38.6;BCA;C;null;null
91192000;38.4;BAB;B;null;600
91192000;37.8;BAB;B;null;600
91192000;37.2;BAB;B;null;600
91203000;30.9;BAF;A;null;null
91203000;30.9;BAF;C;null;null
91203000;29.7;BAB;B;null;600
91203000;29.1;BAF;E;null;600
91203000;9.4;BDC;Z;null;null
91203000;22.9;BAF;I;null;null
91203000;22.9;BAO;A;null;null
91203000;22.9;BAF;I;null;null
91203000;22.9;BAF;E;null;null
91203000;22.9;BAB;B;null;600
91203000;22.9;BAF;C;null;null
91203000;22.9;BAF;A;null;null
